[02:28:01] Main - Stop Click 
[02:28:03] Main - PartClear Click
[02:28:06] PartClear - Site3_F_DT3
[02:28:06] Alarm Clear - Site3_F_DT3
[02:28:06] Main - Main Click
[02:28:21] Main - RunMode Click
[02:28:26] Main - Start Click 
[02:28:26] [InShuttle] MoveLoading Position action
[02:28:26] [InShuttle] Move MoveTurnPos Action
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] MoveABCheck - 2168250Receive -2168250
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:26] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
[02:28:27] [InShuttle] Move to Turn Position
